year,rbf_f1,rbf_recall,rbf_precision,rbf_acc,rbf_C,rbf_gamma,rbf_cv_accuracy,poly_f1,poly_recall,poly_precision,poly_acc,poly_C,poly_degree,poly_gamma,poly_cv_accuracy,runtime_sec,n_train,n_test
1960,0.1538461538461538,0.1290322580645161,0.1904761904761904,0.8026905829596412,1.0,0.1,0.8166417538614849,0.4390243902439024,0.5806451612903226,0.3529411764705882,0.7937219730941704,0.1,2,scale,0.8589935226706528,1.130713939666748,2007,223
1961,0.1052631578947368,0.0833333333333333,0.1428571428571428,0.8454545454545455,10.0,0.1,0.8125413054699296,0.2448979591836734,0.25,0.24,0.8318181818181818,0.1,2,scale,0.8547060497739958,1.3398442268371582,2230,220
1962,0.2857142857142857,0.2222222222222222,0.4,0.8654708520179372,10.0,0.1,0.828171874625003,0.3666666666666666,0.4074074074074074,0.3333333333333333,0.8295964125560538,0.1,2,scale,0.8269478844169247,1.6589179039001465,2450,223
1963,0.2127659574468085,0.1666666666666666,0.2941176470588235,0.8543307086614174,10.0,0.1,0.8372615039281707,0.3448275862068966,0.5,0.2631578947368421,0.7755905511811023,0.1,2,scale,0.809951365506921,2.04365611076355,2673,254
1964,0.2641509433962264,0.2333333333333333,0.3043478260869565,0.8115942028985508,10.0,0.1,0.8421651254028303,0.3695652173913043,0.5666666666666667,0.2741935483870967,0.7198067632850241,10.0,2,scale,0.7420600392321703,2.4840168952941895,2927,207
1965,0.3636363636363636,0.3333333333333333,0.4,0.8292682926829268,10.0,0.1,0.8337656663427989,0.4651162790697674,0.6666666666666666,0.3571428571428571,0.775609756097561,10.0,3,scale,0.7319718662731366,2.911957025527954,3134,205
1966,0.25,0.2222222222222222,0.2857142857142857,0.7831325301204819,10.0,0.1,0.8376759508834981,0.3846153846153846,0.5555555555555556,0.2941176470588235,0.7108433734939759,10.0,3,scale,0.7011081162024558,3.3727900981903076,3339,166
1967,0.1304347826086956,0.0909090909090909,0.2307692307692307,0.8048780487804879,10.0,0.1,0.8416530442051319,0.2474226804123711,0.3636363636363636,0.1875,0.6439024390243903,10.0,2,scale,0.7238243669217338,3.985705852508545,3505,205
1968,0.0,0.0,0.0,0.8025751072961373,10.0,0.1,0.8245322006908525,0.1777777777777777,0.2222222222222222,0.1481481481481481,0.6824034334763949,10.0,3,scale,0.7417840252760315,4.946189880371094,3710,233
1969,0.0952380952380952,0.0606060606060606,0.2222222222222222,0.7853107344632768,10.0,0.1,0.8338825517532742,0.2823529411764706,0.3636363636363636,0.2307692307692307,0.655367231638418,10.0,2,scale,0.7192421287374149,6.235656261444092,3943,177
1970,0.0784313725490196,0.0512820512820512,0.1666666666666666,0.8401360544217688,10.0,0.1,0.8317948598340562,0.2247191011235955,0.2564102564102564,0.2,0.7653061224489796,10.0,3,scale,0.7361478192619638,7.169485807418823,4120,294
1971,0.0,0.0,0.0,0.8593155893536122,10.0,0.1,0.8355219324820934,0.1558441558441558,0.1818181818181818,0.1363636363636363,0.752851711026616,10.0,3,scale,0.7161212795199953,8.834038972854614,4414,263
1972,0.1176470588235294,0.0833333333333333,0.2,0.8543689320388349,10.0,0.1,0.8404960444729527,0.2891566265060241,0.3333333333333333,0.2553191489361702,0.8090614886731392,10.0,3,scale,0.7280307889672867,10.693028926849363,4677,309
1973,0.1739130434782608,0.1333333333333333,0.25,0.8403361344537815,10.0,0.1,0.8429602888086642,0.3865546218487395,0.5111111111111111,0.3108108108108108,0.7955182072829131,10.0,3,scale,0.7210188527878058,12.590889930725098,4986,357
1974,0.1403508771929824,0.0888888888888888,0.3333333333333333,0.8876146788990825,10.0,0.1,0.8510200262025079,0.4193548387096774,0.5777777777777777,0.3291139240506329,0.8348623853211009,10.0,3,scale,0.7505146921205316,16.036152124404907,5343,436
1975,0.1194029850746268,0.0952380952380952,0.16,0.837465564738292,10.0,0.1,0.8523971983273886,0.3008849557522124,0.4047619047619047,0.2394366197183098,0.7823691460055097,10.0,3,scale,0.7554934765891703,20.17385196685791,5779,363
1976,0.1971830985915492,0.1458333333333333,0.3043478260869565,0.868663594470046,10.0,0.1,0.8528168763230743,0.3851851851851852,0.5416666666666666,0.2988505747126437,0.8087557603686636,10.0,3,scale,0.7422706692212181,23.775727033615112,6142,434
1977,0.1265822784810126,0.0980392156862745,0.1785714285714285,0.8553459119496856,10.0,0.1,0.857360097323601,0.2987012987012987,0.4509803921568627,0.2233009708737864,0.7735849056603774,10.0,3,scale,0.7249087591240876,28.34309411048889,6576,477
1978,0.144927536231884,0.1041666666666666,0.238095238095238,0.8747346072186837,10.0,0.1,0.856798525450163,0.328125,0.4375,0.2625,0.8174097664543525,10.0,3,scale,0.7466326385935064,34.118752002716064,7053,471
1979,0.1666666666666666,0.1111111111111111,0.3333333333333333,0.8759305210918115,10.0,0.1,0.856193514088251,0.3333333333333333,0.3777777777777777,0.2982456140350877,0.8312655086848635,10.0,3,scale,0.7639553429027114,40.22598099708557,7524,403
1980,0.15625,0.119047619047619,0.2272727272727272,0.8590078328981723,10.0,0.1,0.8556836606945689,0.2758620689655172,0.3809523809523809,0.2162162162162162,0.7806788511749347,10.0,3,scale,0.7565375581105934,49.49938082695007,7927,383
