episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
1,217.0,64,93,0.9981,,0.0
2,190.0,64,83,0.9962,,0.0
3,365.0,128,142,0.9943,,0.1
4,210.0,64,91,0.9924,,0.2
5,350.0,128,138,0.9905,,0.2
6,349.0,128,137,0.9886,,0.3
7,278.0,64,114,0.9867,,0.3
8,343.0,128,133,0.9848,,0.3
9,134.0,32,64,0.9829,,0.3
10,314.0,128,124,0.981,1.74943,1.0
11,256.0,128,104,0.9791,1.44706,1.2
12,176.0,64,79,0.9772,1.36405,1.4
13,217.0,64,92,0.9753,1.23169,1.6
14,169.0,64,76,0.9734,1.10095,1.8
15,229.0,64,96,0.9715,1.02705,1.9
16,267.0,128,108,0.9696,0.93766,2.1
17,179.0,64,79,0.9677,0.83669,2.3
18,312.0,128,125,0.9658,0.72494,2.5
19,137.0,32,65,0.9639,0.64672,2.7
20,365.0,128,142,0.962,0.54865,2.9
21,214.0,64,92,0.9601,0.47342,3.1
22,204.0,64,89,0.9582,0.40124,3.3
23,241.0,64,100,0.9563,0.35989,3.5
24,330.0,128,132,0.9544,0.3025,3.7
25,649.0,256,232,0.9525,0.24246,4.2
26,394.0,128,150,0.9506,0.20597,4.4
27,471.0,128,178,0.9487,0.18171,4.7
28,264.0,64,108,0.9468,0.16322,4.9
29,292.0,64,119,0.9449,0.14676,5.3
30,260.0,64,109,0.943,0.1395,5.5
31,401.0,128,155,0.9411,0.12661,5.8
32,276.0,128,112,0.9392,0.13459,6.0
33,219.0,64,94,0.9373,0.1267,6.2
34,335.0,64,134,0.9354,0.1321,6.5
35,202.0,64,88,0.9335,0.11806,6.6
36,285.0,128,115,0.9316,0.1107,6.8
37,176.0,64,78,0.9297,0.11108,7.0
38,287.0,64,117,0.9278,0.11605,7.2
39,255.0,64,105,0.9259,0.11684,7.4
40,405.0,128,157,0.924,0.1209,7.7
41,228.0,64,97,0.9221,0.11585,7.9
42,260.0,64,107,0.9202,0.11012,8.1
43,394.0,128,151,0.9183,0.1023,8.4
44,89.0,32,48,0.9164,0.08209,8.5
45,328.0,128,129,0.9145,1.04418,8.7
46,296.0,128,117,0.9126,0.95789,8.9
47,176.0,64,80,0.9107,0.7293,9.2
48,223.0,64,93,0.9088,0.6252,9.4
49,589.0,256,213,0.9069,0.49896,9.7
50,344.0,128,137,0.905,0.37991,10.0
51,283.0,64,115,0.9031,0.34131,10.1
52,565.0,256,208,0.9012,0.30388,10.5
53,334.0,128,130,0.8993,0.26327,10.7
54,209.0,64,89,0.8974,0.25195,10.9
55,281.0,128,114,0.8955,0.21395,11.1
56,289.0,128,117,0.8936,0.20612,11.3
57,308.0,64,125,0.8917,0.19422,11.5
58,341.0,128,135,0.8898,0.18188,11.7
59,224.0,64,96,0.8879,0.184,11.9
60,285.0,128,116,0.886,0.16895,12.1
61,431.0,128,165,0.8841,0.17392,12.5
62,208.0,64,91,0.8822,0.17248,12.6
63,268.0,128,109,0.8803,0.16428,12.8
64,459.0,256,169,0.8784,0.16952,13.2
65,223.0,64,95,0.8765,0.16775,13.3
66,346.0,128,136,0.8746,0.17266,13.7
67,309.0,128,124,0.8727,0.15933,13.9
68,203.0,64,88,0.8708,0.15147,14.1
69,103.0,32,54,0.8689,0.14588,14.3
70,312.0,128,123,0.867,0.15999,14.6
71,202.0,64,88,0.8651,0.15765,14.7
72,410.0,128,157,0.8632,0.14938,15.0
73,400.0,128,155,0.8613,0.15905,15.3
74,505.0,128,188,0.8594,0.15541,15.6
75,187.0,64,83,0.8575,0.13945,15.8
76,319.0,128,126,0.8556,0.14666,16.0
77,422.0,128,159,0.8537,0.88838,16.3
78,105.0,32,55,0.8518,1.00797,16.4
79,367.0,128,143,0.8499,0.78718,16.6
80,402.0,128,154,0.848,0.6156,16.9
81,538.0,256,196,0.8461,0.50145,17.2
82,349.0,128,135,0.8442,0.43509,17.4
