episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
1,386.0,128,149,0.1,2.74261,0.1
2,370.0,64,147,0.1,2.89237,0.1
3,593.0,256,216,0.1,3.55271,0.2
4,538.0,128,201,0.1,3.86349,0.3
5,485.0,256,180,0.1,3.85738,0.4
6,382.0,128,148,0.1,4.1535,0.5
7,122.0,32,60,0.1,3.98584,0.5
8,723.0,256,259,0.1,4.48269,0.6
9,205.0,64,89,0.1,3.96431,0.7
10,323.0,128,128,0.1,4.25966,0.7
11,436.0,128,167,0.1,4.65473,0.8
12,333.0,64,134,0.1,5.29824,0.8
13,757.0,256,270,0.1,5.61175,0.9
14,678.0,256,245,0.1,5.21728,1.0
15,875.0,256,310,0.1,5.8741,1.2
16,360.0,128,142,0.1,4.72345,1.2
17,740.0,256,266,0.1,5.53641,1.3
18,335.0,128,133,0.1,5.09189,1.3
19,463.0,128,177,0.1,5.26776,1.4
20,659.0,128,241,0.1,6.26159,1.5
21,778.0,256,280,0.1,6.15859,1.6
22,550.0,128,208,0.1,5.91263,1.7
23,727.0,256,263,0.1,6.0596,1.8
24,483.0,128,184,0.1,6.61068,1.9
25,309.0,128,123,0.1,7.05661,1.9
26,394.0,128,153,0.1,5.27782,2.0
27,257.0,64,107,0.1,6.21164,2.0
28,312.0,128,124,0.1,6.19288,2.1
29,635.0,256,230,0.1,6.05794,2.2
30,674.0,256,241,0.1,6.50326,2.2
31,283.0,64,115,0.1,5.91736,2.3
32,918.0,256,328,0.1,6.27205,2.4
33,762.0,256,273,0.1,7.0486,2.5
34,359.0,128,139,0.1,7.83095,2.6
35,1077.0,512,376,0.1,6.86226,2.7
36,877.0,256,310,0.1,6.40826,2.8
37,703.0,256,252,0.1,6.20879,2.9
38,662.0,256,241,0.1,6.69261,3.0
39,1128.0,256,398,0.1,7.31588,3.1
40,634.0,128,233,0.1,7.1316,3.3
41,607.0,256,221,0.1,7.4418,3.4
42,709.0,256,257,0.1,7.04559,3.5
43,845.0,256,302,0.1,8.07937,3.6
44,1131.0,512,394,0.1,8.03588,3.7
45,454.0,128,172,0.1,8.67776,3.8
46,429.0,128,163,0.1,7.10895,3.8
47,675.0,256,245,0.1,8.33687,3.9
48,326.0,64,132,0.1,6.46594,4.0
49,1062.0,512,371,0.1,8.44417,4.1
50,1123.0,512,384,0.1,8.42675,4.3
51,309.0,128,123,0.1,8.21163,4.3
52,455.0,128,173,0.1,8.42762,4.4
53,1330.0,512,457,0.1,8.15653,4.5
54,1023.0,256,355,0.1,8.39471,4.7
55,863.0,256,308,0.1,8.44624,4.8
56,506.0,256,188,0.1,8.13456,4.8
57,836.0,256,301,0.1,8.5957,5.0
58,649.0,128,237,0.1,8.97557,5.0
59,785.0,256,281,0.1,8.53052,5.1
60,595.0,256,218,0.1,8.45429,5.2
61,945.0,512,327,0.1,8.30761,5.3
62,738.0,256,264,0.1,8.9894,5.4
63,324.0,64,131,0.1,7.67131,5.5
64,676.0,256,244,0.1,9.08943,5.6
65,950.0,512,330,0.1,9.48656,5.7
66,309.0,128,124,0.1,7.76741,5.7
67,585.0,256,217,0.1,9.16519,5.8
68,602.0,256,220,0.1,8.56209,5.9
69,562.0,256,205,0.1,8.9051,6.0
70,637.0,256,230,0.1,10.47185,6.0
71,765.0,256,275,0.1,9.239,6.1
72,432.0,128,165,0.1,8.74763,6.2
73,424.0,128,160,0.1,8.85469,6.3
74,686.0,256,250,0.1,9.00637,6.4
75,1218.0,512,419,0.1,9.00612,6.5
76,313.0,64,126,0.1,8.54833,6.6
77,1102.0,512,383,0.1,9.45678,6.7
78,620.0,256,227,0.1,8.72268,6.8
79,436.0,128,166,0.1,8.34797,6.9
80,811.0,256,290,0.1,8.01853,7.0
81,445.0,128,170,0.1,9.16429,7.0
82,201.0,64,86,0.1,9.22521,7.1
83,301.0,64,122,0.1,9.37591,7.1
84,1079.0,512,375,0.1,9.60497,7.3
85,1070.0,512,373,0.1,9.8575,7.4
86,443.0,128,167,0.1,8.55718,7.5
87,413.0,128,159,0.1,9.17811,7.5
88,654.0,256,237,0.1,10.12701,7.6
89,1347.0,512,462,0.1,10.25263,7.8
90,792.0,256,283,0.1,10.02091,7.9
91,640.0,256,233,0.1,10.13376,8.0
92,398.0,128,153,0.1,10.23672,8.1
93,813.0,256,289,0.1,9.94337,8.2
94,735.0,256,263,0.1,8.8189,8.3
95,537.0,256,197,0.1,9.23445,8.4
96,1084.0,256,381,0.1,7.83879,8.5
97,406.0,128,156,0.1,8.86388,8.6
98,473.0,128,181,0.1,9.76524,8.6
99,1425.0,512,489,0.1,9.59987,8.8
100,411.0,128,157,0.1,9.91929,8.9
101,755.0,256,273,0.1,10.04049,9.3
102,582.0,256,213,0.1,10.05109,9.8
103,286.0,64,113,0.1,8.50172,10.2
104,474.0,128,178,0.1,9.0395,10.2
105,736.0,256,264,0.1,8.86376,10.3
106,650.0,256,236,0.1,9.79154,10.4
107,1102.0,512,382,0.1,10.22698,10.9
108,593.0,128,220,0.1,9.55786,11.4
109,666.0,256,242,0.1,10.11219,11.5
110,605.0,128,223,0.1,9.37112,11.9
111,607.0,256,219,0.1,10.4885,12.4
112,771.0,256,276,0.1,10.31482,13.0
113,308.0,128,123,0.1,9.3912,13.4
114,702.0,256,252,0.1,9.3943,13.5
115,1252.0,512,430,0.1,11.01403,13.7
116,765.0,256,276,0.1,9.95896,13.9
117,469.0,128,179,0.1,8.53448,14.4
118,1644.0,512,561,0.1,10.4392,14.6
119,616.0,256,225,0.1,9.45145,15.1
120,461.0,128,175,0.1,7.75947,15.8
121,704.0,256,254,0.1,10.08863,15.9
122,865.0,256,308,0.1,11.77177,16.2
123,490.0,128,184,0.1,9.10018,16.8
124,834.0,256,298,0.1,9.34078,17.0
125,535.0,128,202,0.1,8.73894,17.6
126,1000.0,256,347,0.1,11.05827,18.2
127,680.0,256,246,0.1,11.2967,18.7
128,660.0,256,241,0.1,9.73774,19.3
129,761.0,256,274,0.1,10.7597,19.8
130,525.0,128,196,0.1,10.26567,20.3
131,796.0,256,287,0.1,10.74927,20.5
132,798.0,256,284,0.1,10.75556,21.0
133,871.0,256,309,0.1,9.93092,21.1
134,1056.0,512,369,0.1,10.51667,21.3
135,546.0,256,202,0.1,9.58119,21.7
136,482.0,256,180,0.1,10.3087,21.8
137,623.0,256,226,0.1,10.53005,21.9
138,1408.0,512,479,0.1,10.53257,22.1
139,1308.0,512,448,0.1,11.20353,22.2
140,373.0,128,146,0.1,9.56588,22.3
141,652.0,256,240,0.1,8.87352,22.4
142,798.0,256,282,0.1,9.13606,22.6
143,1082.0,512,377,0.1,9.67053,22.8
144,547.0,128,203,0.1,10.34587,23.4
145,431.0,128,166,0.1,10.32476,23.5
146,413.0,128,159,0.1,7.49419,23.6
147,479.0,128,180,0.1,10.35835,23.7
148,805.0,256,287,0.1,11.58953,23.8
149,830.0,256,298,0.1,10.10808,23.9
150,501.0,128,184,0.1,9.87065,24.0
151,1304.0,512,446,0.1,11.1956,24.2
